fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 schwächeren              & 0                    &          11816 & 111                \\
 immer                    & 0                    &          11816 & 111                \\
 mauer                    & 1                    &          11872 & 112                \\
 gedrückt                 & 1                    &          11960 & 113                \\
 folglich                 & 0                    &          11960 & 113                \\
 montagues                & 3                    &          11960 & 113                \\
 bediente                 & 2                    &          11960 & 113                \\
 mauer                    & 2                    &          11960 & 113                \\
 wegstoßen                & 1                    &          12048 & 114                \\
 mädchen                  & 1                    &          12048 & 114                \\
 mauer                    & 3                    &          12048 & 114                \\
 drücken                  & 1                    &          12128 & 115                \\
 gregorio                 & 4                    &          12128 & 115                \\
 streit                   & 0                    &          12128 & 115                \\
 herrschaften             & 1                    &          12192 & 116                \\
 bedienten                & 1                    &          12192 & 116                \\
 mädchen                  & 1                    &          12192 & 116                \\
 aufnehmen                & 1                    &          12192 & 116                \\
 pfui                     & 1                    &          12248 & 117                \\
 solltest                 & 1                    &          12312 & 118                \\
 lieber                   & 1                    &          12368 & 119                \\
 aufnehmen                & 1                    &          12368 & 119                \\
 lassen                   & 0                    &          12368 & 119                \\
 simson                   & 6                    &          12368 & 119                \\
 einerlei                 & 1                    &          12432 & 120                \\
 barbarisch               & 1                    &          12496 & 121                \\
 werke                    & 1                    &          12552 & 122                \\
 gehn                     & 0                    &          12552 & 122                \\
 ichs                     & 0                    &          12552 & 122                \\
 bedienten                & 2                    &          12552 & 122                \\
 erst                     & 0                    &          12552 & 122                \\
 ausgefochten             & 1                    &          12616 & 123                \\
 mädchen                  & 1                    &          12616 & 123                \\
 unterwerfen              & 1                    &          12680 & 124                \\
 sollen                   & 1                    &          12736 & 125                \\
 spitze                   & 1                    &          12792 & 126                \\
 degens                   & 0                    &          12792 & 126                \\
 fühlen                   & 1                    &          12872 & 127                \\
 stumpf                   & 0                    &          12872 & 127                \\
 jungfräulichen           & 1                    &          12960 & 128                \\
 häupter                  & 1                    &          12960 & 128                \\
 berauben                 & 1                    &          13024 & 129                \\
 gregorio                 & 5                    &          13056 & 129                \\
 jungfrauen               & 1                    &          13120 & 130                \\
 enthaupten               & 0                    &          13120 & 130                \\
 simson                   & 7                    &          13120 & 130                \\
 jawohl                   & 1                    &          13176 & 131                \\
 jungfrauen               & 1                    &          13176 & 131                \\
 enthaupten               & 1                    &          13240 & 132                \\
 jungfräulichkeit         & 1                    &          13336 & 133                \\
 nehmen                   & 1                    &          13392 & 134                \\
 nimm                     & 1                    &          13448 & 135                \\
 sinn                     & 0                    &          13448 & 135                \\
 ganz                     & 0                    &          13448 & 135                \\
 willt                    & 0                    &          13448 & 135                \\
 gregorio                 & 5                    &          13448 & 135                \\
 sinngemäß                & 0                    &          13448 & 135                \\
 aufnehmen                & 1                    &          13448 & 135                \\
 müssen                   & 0                    &          13448 & 135                \\
 spüren                   & 0                    &          13448 & 135                \\
 bekommen                 & 0                    &          13448 & 135                \\
 simson                   & 7                    &          13448 & 135                \\
 sollen                   & 2                    &          13448 & 135                \\
 spüren                   & 1                    &          13528 & 136                \\
 bekommen                 & 0                    &          13528 & 136                \\
 solange                  & 0                    &          13528 & 136                \\
 standhalten              & 3                    &          13528 & 136                \\
 bekannt                  & 1                    &          13584 & 137                \\
 hübsches                 & 0                    &          13584 & 137                \\
 stück                    & 1                    &          13664 & 138                \\
 fleisches                & 0                    &          13664 & 138                \\
 gregorio                 & 5                    &          13664 & 138                \\
 gut                      & 0                    &          13664 & 138                \\
 fisch                    & 1                    &          13720 & 139                \\
 wärst                    & 0                    &          13720 & 139                \\
 ärmlicher                & 0                    &          13720 & 139                \\
 dörrheringzieh           & 1                    &          13808 & 140                \\
 gleich                   & 1                    &          13864 & 141                \\
 leder                    & 1                    &          13864 & 141                \\
 kommen                   & 0                    &          13864 & 141                \\
 zwei                     & 1                    &          13864 & 141                \\
 hause                    & 1                    &          13920 & 142                \\
 montagues                & 4                    &          13920 & 142                \\
 abraham                  & 2                    &          13920 & 142                \\
 balthasar                & 1                    &          13920 & 142                \\
 treten                   & 2                    &          13920 & 142                \\
 simson                   & 8                    &          13920 & 142                \\
 waffe                    & 1                    &          13976 & 143                \\
 blank                    & 1                    &          14032 & 144                \\
 fang                     & 0                    &          14032 & 144                \\
 händel                   & 0                    &          14032 & 144                \\
 rücken                   & 0                    &          14032 & 144                \\
 decken                   & 1                    &          14088 & 145                \\
 gregorio                 & 5                    &          14088 & 145                \\
 rücken                   & 1                    &          14168 & 146                \\
 willst                   & 1                    &          14224 & 147                \\
 reißaus                  & 1                    &          14304 & 148                \\
 nehmen                   & 2                    &          14304 & 148                \\
 simson                   & 9                    &          14304 & 148                \\
 fürchte                  & 1                    &          14384 & 149                \\
 gregorio                 & 6                    &          14384 & 149                \\
 ne                       & 2                    &          14384 & 149                \\
 wahrhaftig               & 0                    &          14384 & 149                \\
 fürchten                 & 0                    &          14384 & 149                \\
 simson                   & 9                    &          14384 & 149                \\
 laß                      & 0                    &          14384 & 149                \\
 recht                    & 1                    &          14440 & 150                \\
 unsrer                   & 0                    &          14440 & 150                \\
 seite                    & 0                    &          14440 & 150                \\
 behalten                 & 0                    &          14440 & 150                \\
 laß                      & 1                    &          14520 & 151                \\
 anfangen                 & 1                    &          14584 & 152                \\
 gregorio                 & 6                    &          14584 & 152                \\
 vorbeigehn               & 1                    &          14648 & 153                \\
 gesicht                  & 1                    &          14704 & 154                \\
 ziehen                   & 0                    &          14704 & 154                \\
 mögens                   & 1                    &          14784 & 155                \\
 nehmen                   & 2                    &          14784 & 155                \\
 simson                   & 9                    &          14784 & 155                \\
 wagen                    & 0                    &          14784 & 155                \\
 lieber                   & 1                    &          14784 & 155                \\
 esel                     & 1                    &          14840 & 156                \\
 bohren                   & 1                    &          14896 & 157                \\
 einstecken               & 0                    &          14896 & 157                \\
 schimpf                  & 0                    &          14896 & 157                \\
 abraham                  & 2                    &          14896 & 157                \\
 balthasar                & 1                    &          14896 & 157                \\
 treten                   & 3                    &          14896 & 157                \\
 abraham                  & 2                    &          14896 & 157                \\
 bohrt                    & 1                    &          14952 & 158                \\
 esel                     & 1                    &          14952 & 158                \\
 herr                     & 1                    &          15008 & 159                \\
 simson                   & 10                   &          15008 & 159                \\
 bohre                    & 0                    &          15008 & 159                \\
 esel                     & 1                    &          15008 & 159                \\
 herr                     & 2                    &          15008 & 159                \\
 abraham                  & 3                    &          15008 & 159                \\
 bohrt                    & 2                    &          15008 & 159                \\
 esel                     & 2                    &          15008 & 159                \\
 herr                     & 3                    &          15008 & 159                \\
 simson                   & 10                   &          15008 & 159                \\
 recht                    & 2                    &          15008 & 159                \\
 unsrer                   & 1                    &          15064 & 160                \\
 seite                    & 1                    &          15120 & 161                \\
 ja                       & 0                    &          15120 & 161                \\
 sage                     & 1                    &          15176 & 162                \\
 gregorio                 & 6                    &          15176 & 162                \\
 nein                     & 1                    &          15232 & 163                \\
 simson                   & 11                   &          15232 & 163                \\
 nein                     & 2                    &          15232 & 163                \\
 herr                     & 3                    &          15232 & 163                \\
