fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 kommen                   & 5                    &         174024 & 1585               \\
 o                        & 14                   &         174024 & 1585               \\
 gott                     & 3                    &         174024 & 1585               \\
 kommt                    & 8                    &         174024 & 1585               \\
 amme                     & 5                    &         174024 & 1585               \\
 peter                    & 5                    &         174024 & 1585               \\
 treten                   & 5                    &         174024 & 1585               \\
 bringst                  & 1                    &         174080 & 1586               \\
 goldne                   & 1                    &         174136 & 1587               \\
 amme                     & 5                    &         174136 & 1587               \\
 trafst                   & 1                    &         174192 & 1588               \\
 schick                   & 0                    &         174192 & 1588               \\
 diener                   & 13                   &         174192 & 1588               \\
 wärterin                 & 27                   &         174192 & 1588               \\
 wart                     & 0                    &         174192 & 1588               \\
 türe                     & 0                    &         174192 & 1588               \\
 peter                    & 6                    &         174192 & 1588               \\
 peter                    & 7                    &         174192 & 1588               \\
 ab                       & 9                    &         174192 & 1588               \\
 julia                    & 21                   &         174192 & 1588               \\
 mütterchen               & 1                    &         174280 & 1589               \\
 gott                     & 4                    &         174280 & 1589               \\
 warum                    & 2                    &         174280 & 1589               \\
 blickst                  & 0                    &         174280 & 1589               \\
 traurig                  & 0                    &         174280 & 1589               \\
 bericht                  & 1                    &         174336 & 1590               \\
 schon                    & 11                   &         174336 & 1590               \\
 traurig                  & 1                    &         174392 & 1591               \\
 gib                      & 4                    &         174392 & 1591               \\
 fröhlich                 & 0                    &         174392 & 1591               \\
 klingt                   & 1                    &         174448 & 1592               \\
 gut                      & 7                    &         174448 & 1592               \\
 verdirb                  & 1                    &         174504 & 1593               \\
 weise                    & 0                    &         174504 & 1593               \\
 saurer                   & 0                    &         174504 & 1593               \\
 miene                    & 0                    &         174504 & 1593               \\
 spielst                  & 1                    &         174560 & 1594               \\
 wärterin                 & 28                   &         174560 & 1594               \\
 ermattet                 & 0                    &         174560 & 1594               \\
 laßt                     & 8                    &         174560 & 1594               \\
 weilchen                 & 1                    &         174624 & 1595               \\
 ne                       & 7                    &         174624 & 1595               \\
 jagd                     & 1                    &         174624 & 1595               \\
 reißt                    & 1                    &         174704 & 1596               \\
 gliedern                 & 1                    &         174768 & 1597               \\
 julia                    & 21                   &         174768 & 1597               \\
 wollt                    & 0                    &         174768 & 1597               \\
 hätte                    & 4                    &         174768 & 1597               \\
 neuigkeit                & 0                    &         174768 & 1597               \\
 glieder                  & 0                    &         174768 & 1597               \\
 sprich                   & 2                    &         174768 & 1597               \\
 geschwind                & 2                    &         174768 & 1597               \\
 bitt                     & 3                    &         174768 & 1597               \\
 liebe                    & 21                   &         174768 & 1597               \\
 liebe                    & 21                   &         174768 & 1597               \\
 amme                     & 6                    &         174768 & 1597               \\
 sprich                   & 2                    &         174768 & 1597               \\
 wärterin                 & 28                   &         174768 & 1597               \\
 ne                       & 8                    &         174768 & 1597               \\
 hast                     & 4                    &         174768 & 1597               \\
 könnt                    & 1                    &         174768 & 1597               \\
 weilchen                 & 1                    &         174768 & 1597               \\
 warten                   & 2                    &         174768 & 1597               \\
 seht                     & 6                    &         174768 & 1597               \\
 außer                    & 3                    &         174768 & 1597               \\
 atem                     & 0                    &         174768 & 1597               \\
 julia                    & 22                   &         174800 & 1597               \\
 außer                    & 4                    &         174800 & 1597               \\
 atem                     & 0                    &         174800 & 1597               \\
 atem                     & 0                    &         174800 & 1597               \\
 hast                     & 4                    &         174800 & 1597               \\
 sagen                    & 7                    &         174800 & 1597               \\
 hast                     & 5                    &         174800 & 1597               \\
 vorwand                  & 1                    &         174856 & 1598               \\
 zögerns                  & 0                    &         174856 & 1598               \\
 währt                    & 1                    &         174936 & 1599               \\
 ja                       & 10                   &         174936 & 1599               \\
 länger                   & 3                    &         174936 & 1599               \\
 bericht                  & 1                    &         174936 & 1599               \\
 dadurch                  & 1                    &         174936 & 1599               \\
 verzögerst               & 1                    &         175024 & 1600               \\
 gib                      & 4                    &         175024 & 1600               \\
 antwort                  & 1                    &         175080 & 1601               \\
 bringst                  & 1                    &         175080 & 1601               \\
 gutes                    & 0                    &         175080 & 1601               \\
 böses                    & 1                    &         175160 & 1602               \\
 wart                     & 1                    &         175216 & 1603               \\
 nähere                   & 1                    &         175296 & 1604               \\
 gern                     & 3                    &         175296 & 1604               \\
 beruhge                  & 0                    &         175296 & 1604               \\
 ists                     & 11                   &         175296 & 1604               \\
 gutes                    & 1                    &         175352 & 1605               \\
 böses                    & 2                    &         175352 & 1605               \\
 wärterin                 & 29                   &         175352 & 1605               \\
 ei                       & 2                    &         175352 & 1605               \\
 habt                     & 3                    &         175352 & 1605               \\
 recht                    & 7                    &         175352 & 1605               \\
 einfältige               & 1                    &         175440 & 1606               \\
 wahl                     & 1                    &         175440 & 1606               \\
 getroffen                & 1                    &         175504 & 1607               \\
 versteht                 & 1                    &         175504 & 1607               \\
 mann                     & 5                    &         175504 & 1607               \\
 auszulosen               & 1                    &         175568 & 1608               \\
 romeoja                  & 1                    &         175624 & 1609               \\
 rechteer                 & 0                    &         175624 & 1609               \\
 hübscher                 & 1                    &         175624 & 1609               \\
 gesicht                  & 4                    &         175624 & 1609               \\
 andre                    & 3                    &         175624 & 1609               \\
 leute                    & 2                    &         175624 & 1609               \\
 beine                    & 1                    &         175624 & 1609               \\
 gehen                    & 4                    &         175624 & 1609               \\
 beine                    & 2                    &         175624 & 1609               \\
 hand                     & 5                    &         175624 & 1609               \\
 fuß                      & 3                    &         175624 & 1609               \\
 ganze                    & 1                    &         175680 & 1610               \\
 positures                & 1                    &         175744 & 1611               \\
 läßt                     & 4                    &         175744 & 1611               \\
 eben                     & 2                    &         175744 & 1611               \\
 davon                    & 2                    &         175744 & 1611               \\
 sagen                    & 8                    &         175744 & 1611               \\
 vergleichen              & 1                    &         175808 & 1612               \\
 ausbund                  & 1                    &         175864 & 1613               \\
 feinen                   & 1                    &         175920 & 1614               \\
 manieren                 & 1                    &         175984 & 1615               \\
 wett                     & 0                    &         175984 & 1615               \\
 drauf                    & 2                    &         175984 & 1615               \\
 lamm                     & 0                    &         175984 & 1615               \\
 sanfttreibs              & 0                    &         175984 & 1615               \\
 fort                     & 3                    &         175984 & 1615               \\
 kind                     & 7                    &         175984 & 1615               \\
 fürchte                  & 2                    &         175984 & 1615               \\
 gotthabt                 & 0                    &         175984 & 1615               \\
 mittag                   & 1                    &         176040 & 1616               \\
 hause                    & 4                    &         176040 & 1616               \\
 gegessen                 & 1                    &         176104 & 1617               \\
 julia                    & 22                   &         176104 & 1617               \\
 nein                     & 11                   &         176104 & 1617               \\
 nein                     & 12                   &         176104 & 1617               \\
 all                      & 3                    &         176104 & 1617               \\
 wußt                     & 1                    &         176184 & 1618               \\
 schon                    & 12                   &         176184 & 1618               \\
 zuvor                    & 2                    &         176184 & 1618               \\
 sagt                     & 4                    &         176184 & 1618               \\
 trauung                  & 0                    &         176184 & 1618               \\
 hurtig                   & 1                    &         176240 & 1619               \\
 wärterin                 & 30                   &         176240 & 1619               \\
 o                        & 15                   &         176240 & 1619               \\
 je                       & 3                    &         176240 & 1619               \\
 schmerzt                 & 0                    &         176240 & 1619               \\
 kopf                     & 1                    &         176240 & 1619               \\
 welch                    & 3                    &         176240 & 1619               \\
 kopf                     & 2                    &         176240 & 1619               \\
 schlägt                  & 0                    &         176240 & 1619               \\
 wollt                    & 1                    &         176296 & 1620               \\
 gleich                   & 6                    &         176296 & 1620               \\
 stücke                   & 1                    &         176376 & 1621               \\
 springen                 & 2                    &         176376 & 1621               \\
 rücken                   & 3                    &         176376 & 1621               \\
 o                        & 16                   &         176376 & 1621               \\
 armer                    & 0                    &         176376 & 1621               \\
 rücken                   & 3                    &         176376 & 1621               \\
 gott                     & 4                    &         176376 & 1621               \\
 sei                      & 3                    &         176376 & 1621               \\
 gnädig                   & 1                    &         176456 & 1622               \\
 her                      & 4                    &         176456 & 1622               \\
 schickt                  & 1                    &         176512 & 1623               \\
 bald                     & 4                    &         176512 & 1623               \\
 tode                     & 2                    &         176512 & 1623               \\
 hetzt                    & 1                    &         176568 & 1624               \\
 julia                    & 23                   &         176536 & 1624               \\
 ernst                    & 2                    &         176536 & 1624               \\
 wohl                     & 13                   &         176536 & 1624               \\
 tut                      & 4                    &         176536 & 1624               \\
 leid                     & 4                    &         176536 & 1624               \\
 beste                    & 1                    &         176592 & 1625               \\
 beste                    & 1                    &         176592 & 1625               \\
 amme                     & 6                    &         176592 & 1625               \\
 sage                     & 3                    &         176592 & 1625               \\
 macht                    & 2                    &         176592 & 1625               \\
 liebster                 & 1                    &         176656 & 1626               \\
 wärterin                 & 30                   &         176656 & 1626               \\
 eur                      & 0                    &         176656 & 1626               \\
 liebster                 & 2                    &         176656 & 1626               \\
 sagt                     & 5                    &         176656 & 1626               \\
 wackrer                  & 1                    &         176656 & 1626               \\
 herrund                  & 0                    &         176656 & 1626               \\
 artiger                  & 1                    &         176712 & 1627               \\
 freundlicher             & 0                    &         176712 & 1627               \\
 hübscher                 & 2                    &         176712 & 1627               \\
 herr                     & 12                   &         176712 & 1627               \\
 wort                     & 10                   &         176712 & 1627               \\
 tugendsamer              & 0                    &         176712 & 1627               \\
 herrwo                   & 1                    &         176768 & 1628               \\
 mutter                   & 4                    &         176768 & 1628               \\
 julia                    & 24                   &         176800 & 1628               \\
 mutter                   & 4                    &         176800 & 1628               \\
 drinnen                  & 1                    &         176800 & 1628               \\
 wär                      & 1                    &         176800 & 1628               \\
 seltsam                  & 1                    &         176856 & 1629               \\
 erwiderst                & 1                    &         176920 & 1630               \\
 eur                      & 0                    &         176920 & 1630               \\
 liebster                 & 2                    &         176920 & 1630               \\
 sagt                     & 6                    &         176920 & 1630               \\
 wackrer                  & 2                    &         176920 & 1630               \\
 herr                     & 13                   &         176920 & 1630               \\
 mutter                   & 5                    &         176920 & 1630               \\
 wärterin                 & 31                   &         176920 & 1630               \\
 jemine                   & 2                    &         176920 & 1630               \\
 seid                     & 3                    &         176920 & 1630               \\
 hitzig                   & 0                    &         176920 & 1630               \\
 seht                     & 6                    &         176920 & 1630               \\
 kommt                    & 9                    &         176920 & 1630               \\
 bähung                   & 1                    &         177000 & 1631               \\
 gliederweh               & 1                    &         177064 & 1632               \\
 geht                     & 4                    &         177064 & 1632               \\
 künftig                  & 1                    &         177144 & 1633               \\
 ne                       & 8                    &         177144 & 1633               \\
 botschaft                & 1                    &         177208 & 1634               \\
 habt                     & 4                    &         177208 & 1634               \\
 julia                    & 25                   &         177208 & 1634               \\
 ne                       & 8                    &         177208 & 1634               \\
 not                      & 0                    &         177208 & 1634               \\
 sagt                     & 7                    &         177208 & 1634               \\
 bitte                    & 1                    &         177208 & 1634               \\
 sprich                   & 3                    &         177208 & 1634               \\
 wärterin                 & 31                   &         177208 & 1634               \\
 habt                     & 4                    &         177208 & 1634               \\
 erlaubnis                & 1                    &         177272 & 1635               \\
 heut                     & 3                    &         177272 & 1635               \\
 beichten                 & 0                    &         177272 & 1635               \\
 julia                    & 25                   &         177272 & 1635               \\
 ja                       & 11                   &         177272 & 1635               \\
 wärterin                 & 31                   &         177272 & 1635               \\
 macht                    & 3                    &         177272 & 1635               \\
 paters                   & 1                    &         177328 & 1636               \\
 zelle                    & 1                    &         177384 & 1637               \\
 harrt                    & 1                    &         177440 & 1638               \\
 mann                     & 6                    &         177440 & 1638               \\
 frau                     & 9                    &         177440 & 1638               \\
 steigt                   & 0                    &         177440 & 1638               \\
 lose                     & 2                    &         177440 & 1638               \\
 blut                     & 4                    &         177440 & 1638               \\
 wangen                   & 4                    &         177440 & 1638               \\
 gleich                   & 6                    &         177440 & 1638               \\
 scharlach                & 0                    &         177440 & 1638               \\
 wenns                    & 0                    &         177440 & 1638               \\
 neues                    & 1                    &         177496 & 1639               \\
 gibt                     & 0                    &         177496 & 1639               \\
 eilt                     & 1                    &         177496 & 1639               \\
 kloster                  & 1                    &         177552 & 1640               \\
 muß                      & 7                    &         177552 & 1640               \\
 wohin                    & 1                    &         177608 & 1641               \\
 leiter                   & 2                    &         177608 & 1641               \\
 holen                    & 1                    &         177664 & 1642               \\
 liebste                  & 0                    &         177664 & 1642               \\
 bald                     & 4                    &         177664 & 1642               \\
 nest                     & 0                    &         177664 & 1642               \\
 hinan                    & 0                    &         177664 & 1642               \\
 wenns                    & 0                    &         177664 & 1642               \\
 nacht                    & 12                   &         177664 & 1642               \\
 klimmen                  & 1                    &         177664 & 1642               \\
 lasttier                 & 1                    &         177728 & 1643               \\
 muß                      & 7                    &         177728 & 1643               \\
 plagen                   & 1                    &         177784 & 1644               \\
 sollt                    & 0                    &         177784 & 1644               \\
 last                     & 0                    &         177784 & 1644               \\
 nacht                    & 13                   &         177784 & 1644               \\
 schon                    & 12                   &         177784 & 1644               \\
 tragen                   & 0                    &         177784 & 1644               \\
 mahlzeit                 & 0                    &         177784 & 1644               \\
 erst                     & 3                    &         177784 & 1644               \\
 eilt                     & 1                    &         177784 & 1644               \\
 zelle                    & 1                    &         177784 & 1644               \\
 julia                    & 26                   &         177784 & 1644               \\
 hohem                    & 0                    &         177784 & 1644               \\
 glücke                   & 0                    &         177784 & 1644               \\
 treue                    & 0                    &         177784 & 1644               \\
 pflegerin                & 1                    &         177848 & 1645               \\
 beide                    & 3                    &         177848 & 1645               \\
 ab                       & 9                    &         177848 & 1645               \\
 sechste                  & 0                    &         177848 & 1645               \\
 szene                    & 10                   &         177848 & 1645               \\
 bruder                   & 3                    &         177848 & 1645               \\
 lorenzos                 & 2                    &         177848 & 1645               \\
 zelle                    & 1                    &         177848 & 1645               \\
 lorenzo                  & 5                    &         177848 & 1645               \\
 romeo                    & 66                   &         177848 & 1645               \\
 lorenzo                  & 6                    &         177848 & 1645               \\
 himmel                   & 0                    &         177848 & 1645               \\
 lächle                   & 0                    &         177848 & 1645               \\
 heilgen                  & 0                    &         177848 & 1645               \\
 bund                     & 0                    &         177848 & 1645               \\
 künftge                  & 1                    &         177928 & 1646               \\
 tag                      & 2                    &         177928 & 1646               \\
 kummer                   & 1                    &         177984 & 1647               \\
 schelten                 & 0                    &         177984 & 1647               \\
 romeo                    & 66                   &         177984 & 1647               \\
 amen                     & 0                    &         177984 & 1647               \\
 seis                     & 1                    &         178040 & 1648               \\
 laß                      & 5                    &         178040 & 1648               \\
 kummer                   & 1                    &         178040 & 1648               \\
 kommen                   & 5                    &         178040 & 1648               \\
 mag                      & 1                    &         178096 & 1649               \\
 wiegt                    & 0                    &         178096 & 1649               \\
 freuden                  & 2                    &         178096 & 1649               \\
 anblick                  & 1                    &         178152 & 1650               \\
 flüchtge                 & 1                    &         178240 & 1651               \\
 minute                   & 0                    &         178240 & 1651               \\
 gibt                     & 1                    &         178296 & 1652               \\
 füg                      & 1                    &         178376 & 1653               \\
 unsre                    & 1                    &         178376 & 1653               \\
 hände                    & 1                    &         178456 & 1654               \\
 segensspruch             & 1                    &         178520 & 1655               \\
 eins                     & 3                    &         178520 & 1655               \\
 tue                      & 0                    &         178520 & 1655               \\
 äußerstes                & 0                    &         178520 & 1655               \\
 liebeswürger             & 1                    &         178608 & 1656               \\
 tod                      & 4                    &         178608 & 1656               \\
 genug                    & 1                    &         178608 & 1656               \\
 nennen                   & 0                    &         178608 & 1656               \\
 darf                     & 2                    &         178608 & 1656               \\
 lorenzo                  & 6                    &         178608 & 1656               \\
 wilde                    & 1                    &         178664 & 1657               \\
 freude                   & 1                    &         178664 & 1657               \\
 nimmt                    & 1                    &         178664 & 1657               \\
 wildes                   & 1                    &         178720 & 1658               \\
 ende                     & 1                    &         178776 & 1659               \\
 stirbt                   & 2                    &         178776 & 1659               \\
 höchsten                 & 1                    &         178776 & 1659               \\
 sieg                     & 1                    &         178832 & 1660               \\
 feur                     & 1                    &         178888 & 1661               \\
 pulver                   & 1                    &         178944 & 1662               \\
 kusse                    & 0                    &         178944 & 1662               \\
 verzehrt                 & 2                    &         178944 & 1662               \\
 süßigkeit                & 0                    &         178944 & 1662               \\
 honigs                   & 0                    &         178944 & 1662               \\
 widert                   & 1                    &         179000 & 1663               \\
 übermaß                  & 0                    &         179000 & 1663               \\
 geschmack                & 0                    &         179000 & 1663               \\
 erstickt                 & 0                    &         179000 & 1663               \\
 unsre                    & 2                    &         179000 & 1663               \\
 lust                     & 2                    &         179000 & 1663               \\
 drum                     & 3                    &         179000 & 1663               \\
 liebe                    & 22                   &         179000 & 1663               \\
 mäßig                    & 1                    &         179080 & 1664               \\
 lieb                     & 9                    &         179080 & 1664               \\
 stet                     & 1                    &         179136 & 1665               \\
 hastig                   & 2                    &         179136 & 1665               \\
 träge                    & 0                    &         179136 & 1665               \\
 kommt                    & 10                   &         179136 & 1665               \\
 gleich                   & 6                    &         179136 & 1665               \\
 spät                     & 1                    &         179136 & 1665               \\
 julia                    & 26                   &         179136 & 1665               \\
 tritt                    & 6                    &         179136 & 1665               \\
 kommt                    & 11                   &         179136 & 1665               \\
 fräulein                 & 7                    &         179136 & 1665               \\
 sieh                     & 2                    &         179136 & 1665               \\
 leichtem                 & 1                    &         179200 & 1666               \\
 tritt                    & 6                    &         179200 & 1666               \\
 blume                    & 3                    &         179200 & 1666               \\
 biegt                    & 1                    &         179256 & 1667               \\
 sieh                     & 2                    &         179256 & 1667               \\
 macht                    & 3                    &         179256 & 1667               \\
 lieb                     & 10                   &         179256 & 1667               \\
 wonne                    & 1                    &         179256 & 1667               \\
 siegt                    & 0                    &         179256 & 1667               \\
 julia                    & 26                   &         179256 & 1667               \\
 tritt                    & 7                    &         179256 & 1667               \\
 julia                    & 27                   &         179256 & 1667               \\
 ehrwürdger               & 1                    &         179256 & 1667               \\
 herr                     & 13                   &         179256 & 1667               \\
 sag                      & 10                   &         179256 & 1667               \\
 guten                    & 5                    &         179256 & 1667               \\
 abend                    & 1                    &         179256 & 1667               \\
 lorenzo                  & 7                    &         179256 & 1667               \\
 dankt                    & 1                    &         179312 & 1668               \\
 romeo                    & 67                   &         179312 & 1668               \\
 kind                     & 7                    &         179312 & 1668               \\
 julia                    & 28                   &         179312 & 1668               \\
 gilt                     & 3                    &         179312 & 1668               \\
 wär                      & 2                    &         179312 & 1668               \\
 dank                     & 3                    &         179312 & 1668               \\
 zuviel                   & 1                    &         179368 & 1669               \\
 romeo                    & 68                   &         179368 & 1669               \\
 ach                      & 4                    &         179368 & 1669               \\
 julia                    & 28                   &         179368 & 1669               \\
 freude                   & 1                    &         179368 & 1669               \\
 maß                      & 1                    &         179368 & 1669               \\
 gehäuft                  & 1                    &         179448 & 1670               \\
 meins                    & 1                    &         179504 & 1671               \\
 weißt                    & 2                    &         179504 & 1671               \\
 mehr                     & 9                    &         179504 & 1671               \\
 kunst                    & 2                    &         179504 & 1671               \\
 schmuck                  & 1                    &         179560 & 1672               \\
 leihn                    & 0                    &         179560 & 1672               \\
 würze                    & 0                    &         179560 & 1672               \\
 rings                    & 0                    &         179560 & 1672               \\
 luft                     & 1                    &         179560 & 1672               \\
 hauch                    & 1                    &         179560 & 1672               \\
 laß                      & 5                    &         179560 & 1672               \\
 gesanges                 & 0                    &         179560 & 1672               \\
 mund                     & 1                    &         179560 & 1672               \\
 seligkeit                & 1                    &         179624 & 1673               \\
 verkünden                & 1                    &         179712 & 1674               \\
 beide                    & 4                    &         179712 & 1674               \\
 teuern                   & 1                    &         179768 & 1675               \\
 näh                      & 2                    &         179768 & 1675               \\
 finden                   & 4                    &         179768 & 1675               \\
 julia                    & 28                   &         179768 & 1675               \\
 gefühl                   & 0                    &         179768 & 1675               \\
 inhalt                   & 1                    &         179824 & 1676               \\
 reicher                  & 1                    &         179880 & 1677               \\
 worten                   & 0                    &         179880 & 1677               \\
 stolz                    & 0                    &         179880 & 1677               \\
 wert                     & 1                    &         179936 & 1678               \\
 schmuck                  & 2                    &         179936 & 1678               \\
 bettler                  & 1                    &         179992 & 1679               \\
 wissen                   & 3                    &         179992 & 1679               \\
 guts                     & 1                    &         180048 & 1680               \\
 betrag                   & 1                    &         180104 & 1681               \\
 treue                    & 1                    &         180160 & 1682               \\
 liebe                    & 22                   &         180160 & 1682               \\
 stieg                    & 1                    &         180216 & 1683               \\
 hoch                     & 3                    &         180216 & 1683               \\
 schätzung                & 0                    &         180216 & 1683               \\
 schätz                   & 1                    &         180296 & 1684               \\
 erreicht                 & 1                    &         180360 & 1685               \\
 lorenzo                  & 7                    &         180360 & 1685               \\
 kommt                    & 12                   &         180360 & 1685               \\
 kommt                    & 13                   &         180360 & 1685               \\
 schreiten                & 1                    &         180424 & 1686               \\
 gleich                   & 7                    &         180424 & 1686               \\
 sache                    & 0                    &         180424 & 1686               \\
 leide                    & 1                    &         180480 & 1687               \\
 allein                   & 3                    &         180480 & 1687               \\
 bleibt                   & 2                    &         180480 & 1687               \\
 kirch                    & 1                    &         180536 & 1688               \\
 einander                 & 0                    &         180536 & 1688               \\
 einverleibt              & 1                    &         180600 & 1689               \\
 ab                       & 10                   &         180600 & 1689               \\
 dritter                  & 0                    &         180600 & 1689               \\
 akt                      & 2                    &         180600 & 1689               \\
 erste                    & 2                    &         180600 & 1689               \\
 szene                    & 10                   &         180600 & 1689               \\
 öffentlicher             & 1                    &         180600 & 1689               \\
 platz                    & 2                    &         180600 & 1689               \\
 mercutio                 & 34                   &         180600 & 1689               \\
 benvolio                 & 24                   &         180600 & 1689               \\
 page                     & 2                    &         180600 & 1689               \\
 diener                   & 13                   &         180600 & 1689               \\
 benvolio                 & 24                   &         180600 & 1689               \\
 bitt                     & 3                    &         180600 & 1689               \\
 freund                   & 3                    &         180600 & 1689               \\
 laß                      & 6                    &         180600 & 1689               \\
 hause                    & 5                    &         180600 & 1689               \\
 gehn                     & 3                    &         180600 & 1689               \\
 tag                      & 2                    &         180600 & 1689               \\
 heiß                     & 1                    &         180600 & 1689               \\
 capulets                 & 5                    &         180600 & 1689               \\
 draußen                  & 1                    &         180680 & 1690               \\
 treffen                  & 2                    &         180680 & 1690               \\
 gibt                     & 2                    &         180680 & 1690               \\
 sicher                   & 3                    &         180680 & 1690               \\
 zank                     & 0                    &         180680 & 1690               \\
 hitze                    & 0                    &         180680 & 1690               \\
 tobt                     & 0                    &         180680 & 1690               \\
 tolle                    & 0                    &         180680 & 1690               \\
 blut                     & 4                    &         180680 & 1690               \\
 mercutio                 & 34                   &         180680 & 1690               \\
 zeisig                   & 0                    &         180680 & 1690               \\
 sobald                   & 2                    &         180680 & 1690               \\
 schwelle                 & 1                    &         180744 & 1691               \\
 wirtshauses              & 1                    &         180808 & 1692               \\
 betritt                  & 0                    &         180808 & 1692               \\
 degen                    & 0                    &         180808 & 1692               \\
 tisch                    & 1                    &         180864 & 1693               \\
 schlägt                  & 1                    &         180944 & 1694               \\
 ausruft                  & 1                    &         181000 & 1695               \\
 gebe                     & 1                    &         181000 & 1695               \\
 gott                     & 4                    &         181000 & 1695               \\
 nötig                    & 1                    &         181080 & 1696               \\
 habea                    & 0                    &         181080 & 1696               \\
 kommen                   & 5                    &         181080 & 1696               \\
 capulets                 & 5                    &         181080 & 1696               \\
 mercutio                 & 34                   &         181080 & 1696               \\
 sohle                    & 1                    &         181136 & 1697               \\
 kümmerts                 & 0                    &         181136 & 1697               \\
 tybalt                   & 10                   &         181136 & 1697               \\
 andre                    & 3                    &         181136 & 1697               \\
 kommen                   & 6                    &         181136 & 1697               \\
 tybalt                   & 10                   &         181136 & 1697               \\
 leuten                   & 0                    &         181136 & 1697               \\
 schließt                 & 1                    &         181224 & 1698               \\
 reden                    & 0                    &         181224 & 1698               \\
 guten                    & 6                    &         181224 & 1698               \\
 tag                      & 2                    &         181224 & 1698               \\
 herrn                    & 4                    &         181224 & 1698               \\
 wort                     & 11                   &         181224 & 1698               \\
 mercutio                 & 34                   &         181224 & 1698               \\
 wort                     & 12                   &         181224 & 1698               \\
